Codice comparto;Indirizzo;Carraio;Fronte;Insegna;Anno inizio attivita;Mese inizio attivita;Tipologia merceologica;Descrizione ripartizione;Dettaglio ripartizione;Categoria merceologica;Prevalente;Tipologia locale;Mq tot locale;Mq tot vendita;Tipologia addensamento;Nome addensamento;Sezione censimento;Zona statistica;Numero Circoscrizione;Sezione elettorale;Cap;DO_Y;DO_X
CF;PIAZZA CARLO FELICE 45;0;0;;1999;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;4587;85;.;;NEGOZIO;149;04;1;16;10123;45.0634765296139;7.68023970676064
CF;PIAZZA CARLO FELICE 46;0;0;;2011;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Calzature;S;115171;30;25;;NEGOZIO;148;04;1;16;10121;45.0638265045649;7.67889725396468
CF;PIAZZA CARLO FELICE 48;0;0;;1992;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;38885;21;.;;NEGOZIO;148;04;1;16;10121;45.0637954881202;7.67887500339864
CF;PIAZZA CARLO FELICE 49;0;0;;2004;2;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;38057;40;.;;NEGOZIO;149;04;1;16;10123;45.0634340567119;7.68020910740011
CF;PIAZZA CARLO FELICE 50;0;0;;1995;3;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Pasticceria;S;8297;25;.;;NEGOZIO;148;04;1;16;10121;45.0637553762959;7.67884621767247
CF;PIAZZA CARLO FELICE 52/A;0;1;;2010;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Librerie;S;111018;1;1;;NEGOZIO;148;04;1;0;10121;45.0638507142542;7.6790096417199
CF;PIAZZA CARLO FELICE 52/A;0;1;;2010;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Vendita al dettaglio di cose antiche ed usate;N;111018;1;1;;NEGOZIO;148;04;1;0;10121;45.0638507142542;7.6790096417199
CF;PIAZZA CARLO FELICE 53;0;0;;1998;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;16876;57;.;;NEGOZIO;149;04;1;16;10123;45.0633853205199;7.68017400335592
CF;PIAZZA CARLO FELICE 53;0;0;;2000;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Tabacchi;S;113582;45;45;;NEGOZIO;149;04;1;16;10123;45.0633853205199;7.68017400335592
CF;PIAZZA CARLO FELICE 55;0;0;;1977;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;25217;30;.;;NEGOZIO;149;04;1;16;10123;45.0633438551903;7.68014413031004
CF;PIAZZA CARLO FELICE 63;0;0;;2006;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Farmacia;S;29041;38;.;N;NEGOZIO;149;04;1;16;10123;45.0632389031341;7.68006854395998
CF;PIAZZA CARLO FELICE 67;1;0;;2004;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Librerie;S;23205;1;.;;INTERPILASTRO;149;04;1;16;10123;45.0631634976229;7.68001422649382
CF;PIAZZA CARLO FELICE 69;0;0;;2004;3;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Pasticceria;S;1420;20;.;;NEGOZIO;149;04;1;16;10123;45.0631010795428;7.67996907304946
CF;PIAZZA CARLO FELICE 74;0;0;;1996;4;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;34634;66;.;;NEGOZIO;148;04;1;16;10121;45.0634523885408;7.67862860359849
CF;PIAZZA CARLO FELICE 8;0;0;;2006;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Abbigliamento;S;98281;.;140;N;NEGOZIO;139;04;1;16;10121;45.0644898328135;7.67979912572305
CF;PIAZZA CARLO FELICE 80;1;0;;2009;2;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari annessi ad altra attivita;N;107393;.;150;N;NEGOZIO;148;04;1;16;10121;45.0633803674547;7.67857743611115
CF;PIAZZA CARLO FELICE 80;1;0;;2009;2;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Parafarmacia;S;107393;.;150;N;NEGOZIO;148;04;1;16;10121;45.0633803674547;7.67857743611115
